n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?@?A??G?_??C,PhCP@?__??_@?@?A??G?_??C,leaf_degree_two,pendant_path_fold,1111,10750,1440,14141,230651,230651/1599840
17,PhCP?C__??_@?@?A??G?_?C?,PhCP@?__??_@?@?A??G?_?C?,leaf_degree_two,pendant_path_fold,1440,14159,1869,18630,364029,121343/897120
17,PhCP?C__??_@?@?A??G?__??,PhCP@?__??_@?@?A??G?__??,leaf_degree_two,pendant_path_fold,1452,14273,1891,18815,329137,329137/2745732
17,PhCP?C__??_@?@?A??K????C,PhCP@?__??_@?@?A??K????C,leaf_degree_two,pendant_path_fold,1155,11114,1504,14657,213379,213379/1737120
17,PhCP?C__??_@?@?A??K??_??,PhCP@?__??_@?@?A??K??_??,leaf_degree_two,pendant_path_fold,1506,14694,1965,19388,324618,413/3765
17,PhCP?C__??_@?@?A?@??O?A?,PhCP@?__??_@?@?A?@??O?A?,leaf_degree_two,pendant_path_fold,1775,17745,2294,23295,641595,128319/814370
17,PhCP?C__??_@?@?A?@??O?C?,PhCP@?__??_@?@?A?@??O?C?,leaf_degree_two,pendant_path_fold,1784,17889,2313,23520,582423,194141/1375464
17,PhCP?C__??_@?@?A?@??O_??,PhCP@?__??_@?@?A?@??O_??,leaf_degree_two,pendant_path_fold,1791,17973,2330,23675,524835,11663/92734
17,PhCP?C__??_@?@?A?@??_??C,PhCP@?__??_@?@?A?@??_??C,leaf_degree_two,pendant_path_fold,1410,13916,1829,18306,359096,179548/1289445
17,PhCP?C__??_@?@?A?@??_?C?,PhCP@?__??_@?@?A?@??_?C?,leaf_degree_two,pendant_path_fold,1838,18378,2387,24181,576392,288196/2193653
17,PhCP?C__??_@?@?A?@??__??,PhCP@?__??_@?@?A?@??__??,leaf_degree_two,pendant_path_fold,1844,18459,2403,24333,513075,171025/1477044
17,PhCP?C__??_@?@?A?@C????C,PhCP@?__??_@?@?A?@C????C,leaf_degree_two,pendant_path_fold,1448,14247,1887,18789,322383,107461/910792
17,PhCP?C__??_@?@?A?@C??_??,PhCP@?__??_@?@?A?@C??_??,leaf_degree_two,pendant_path_fold,1895,18865,2474,24891,496435,99287/937646
17,PhCP?C__??_@?@?A?A??@??C,PhCP@?__??_@?@?A?A??@??C,leaf_degree_two,pendant_path_fold,1043,10006,1352,13165,202983,202983/1410136
