n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
7,FkE?G,FsE?G,leaf_degree_two,pendant_path_fold,36,120,44,154,264,1/6
8,Gh_K?C,Gi_K?C,leaf_degree_two,pendant_path_fold,48,180,57,225,540,15/76
8,Gi_K?C,GiaC?C,leaf_degree_two,pendant_path_fold,57,225,71,292,669,223/1349
8,GkE?K?,GsE?K?,leaf_degree_two,pendant_path_fold,64,256,81,335,704,11/81
9,HhI?K?@,HhICC?@,leaf_degree_two,pendant_path_fold,71,310,88,401,1191,1191/6248
9,HhOK?C@,HiOK?C@,leaf_degree_two,pendant_path_fold,61,253,75,326,911,911/4575
9,HhQ?K?@,HiQ?K?@,leaf_degree_two,pendant_path_fold,79,352,98,454,1370,685/3871
9,Hh_GK?@,Hi_GK?@,leaf_degree_two,pendant_path_fold,63,264,75,330,990,22/105
9,Hh_GS?@,Hi_GS?@,leaf_degree_two,pendant_path_fold,75,330,90,414,1350,1/5
9,Hh_K?E?,Hi_K?E?,leaf_degree_two,pendant_path_fold,85,379,103,478,1593,1593/8755
9,HiQ?K?@,HiQCC?@,leaf_degree_two,pendant_path_fold,98,454,124,593,1818,909/6076
9,Hi_GS?@,Hi_GSA?,leaf_degree_two,pendant_path_fold,90,414,114,542,1584,44/285
9,Hi_K?E?,HiaC?E?,leaf_degree_two,pendant_path_fold,103,478,132,629,1691,1691/13596
9,HkE?K?@,HsE?K?@,leaf_degree_two,pendant_path_fold,93,421,119,554,1423,1423/11067
9,HkE?KA?,HsE?KA?,leaf_degree_two,pendant_path_fold,119,554,154,732,1792,128/1309
10,IhE?GCC?G,IhI?GCC?G,leaf_degree_two,pendant_path_fold,75,340,86,410,1510,151/645
10,IhE?GE??G,IhI?GE??G,leaf_degree_two,pendant_path_fold,79,364,92,445,1667,1667/7268
10,IhH?K?@?G,IhHAC?@?G,leaf_degree_two,pendant_path_fold,94,454,118,592,2076,519/2773
10,IhI?GCC?G,IhI?GGC?G,leaf_degree_two,pendant_path_fold,86,410,106,528,1948,487/2279
10,IhI?GE??G,IhI?GI??G,leaf_degree_two,pendant_path_fold,92,445,110,556,2202,1101/5060
10,IhI?GI??G,IhI?GI?_?,leaf_degree_two,pendant_path_fold,110,556,139,727,2686,1343/7645
10,IhI?K?@_?,IhICC?@_?,leaf_degree_two,pendant_path_fold,126,644,161,846,2912,208/1449
10,IhOIC?@?G,IiOIC?@?G,leaf_degree_two,pendant_path_fold,107,524,136,687,2245,2245/14552
10,IhOK?C@?_,IiOK?C@?_,leaf_degree_two,pendant_path_fold,95,464,118,600,2248,1124/5605
10,IhOK?C@_?,IiOK?C@_?,leaf_degree_two,pendant_path_fold,102,502,128,653,2350,1175/6528
10,IhOK?CA?_,IiOK?CA?_,leaf_degree_two,pendant_path_fold,116,591,145,766,3161,109/580
10,IhOK?CA_?,IiOK?CA_?,leaf_degree_two,pendant_path_fold,122,626,154,816,3148,787/4697
10,IhOK?E??G,IiOK?E??G,leaf_degree_two,pendant_path_fold,111,556,140,725,2635,527/3108
10,IhPC?E??G,IiPC?E??G,leaf_degree_two,pendant_path_fold,140,725,179,951,3365,673/5012
10,IhQ?GE??G,IiQ?GE??G,leaf_degree_two,pendant_path_fold,103,508,128,655,2441,2441/13184
10,IhQ?GI??G,IiQ?GI??G,leaf_degree_two,pendant_path_fold,124,637,155,823,3317,107/620
10,IhQ?K?@_?,IiQ?K?@_?,leaf_degree_two,pendant_path_fold,143,740,180,959,3937,3937/25740
10,Ih_GK?@?G,Ii_GK?@?G,leaf_degree_two,pendant_path_fold,82,382,98,478,1760,440/2009
10,Ih_GK?@?O,Ii_GK?@?O,leaf_degree_two,pendant_path_fold,98,478,118,600,2396,599/2891
10,Ih_GK?@_?,Ii_GK?@_?,leaf_degree_two,pendant_path_fold,112,553,136,697,2856,3/16
10,Ih_GOQ??G,Ii_GOQ??G,leaf_degree_two,pendant_path_fold,128,655,155,823,3819,3819/19840
10,Ih_GS?@?O,Ii_GS?@?O,leaf_degree_two,pendant_path_fold,118,600,143,755,3290,1645/8437
10,Ih_GS?@_?,Ii_GS?@_?,leaf_degree_two,pendant_path_fold,136,697,166,880,3978,117/664
10,Ih_K?E??G,Ii_K?E??G,leaf_degree_two,pendant_path_fold,123,616,150,778,3294,183/1025
10,Ih_K?E?_?,Ii_K?E?_?,leaf_degree_two,pendant_path_fold,158,812,194,1028,4896,1224/7663
10,IiPC?E??G,IiPCCA??G,leaf_degree_two,pendant_path_fold,179,951,229,1246,5255,5255/40991
10,IiQ?GI??G,IiQ?GI?_?,leaf_degree_two,pendant_path_fold,155,823,199,1083,4088,4088/30845
10,IiQ?K?@_?,IiQCC?@_?,leaf_degree_two,pendant_path_fold,180,959,233,1266,4433,4433/41940
10,Ii_GS?@?O,Is_GS?@?O,cherry,fold,143,755,215,1163,3984,3984/30745
10,Ii_GS?@_?,Ii_GSA?_?,leaf_degree_two,pendant_path_fold,166,880,215,1163,3858,1929/17845
10,Ii_K?E??G,IiaC?E??G,leaf_degree_two,pendant_path_fold,150,778,194,1028,3268,817/7275
10,Ii_K?E?_?,IiaC?E?_?,leaf_degree_two,pendant_path_fold,194,1028,253,1362,4144,2072/24541
10,IkE?K?@_?,IsE?K?@_?,leaf_degree_two,pendant_path_fold,175,908,228,1203,3501,1167/13300
10,IkE?KA?_?,IsE?KA?_?,leaf_degree_two,pendant_path_fold,228,1203,299,1597,4419,1473/22724
11,JhCS?C@?_?_,JhCS?CA?_?_,leaf_degree_two,pendant_path_fold,102,526,125,674,2998,1499/6375
11,JhCS?C@_??_,JhCS?CA_??_,leaf_degree_two,pendant_path_fold,110,578,131,719,3372,1686/7205
11,JhC_K?@?G?_,JhG_K?@?G?_,leaf_degree_two,pendant_path_fold,90,442,110,566,2320,116/495
11,JhCc?C@?_?_,JhGc?C@?_?_,leaf_degree_two,pendant_path_fold,112,593,135,747,3609,401/1680
11,JhCc?C@_??_,JhGc?C@_??_,leaf_degree_two,pendant_path_fold,122,656,149,834,4004,2002/9089
11,JhD?K?@?G?_,JhH?K?@?G?_,leaf_degree_two,pendant_path_fold,96,481,114,598,2574,143/608
11,JhDC?C@?_?_,JhHC?C@?_?_,leaf_degree_two,pendant_path_fold,120,643,142,794,3974,1987/8520
11,JhDC?C@_??_,JhHC?C@_??_,leaf_degree_two,pendant_path_fold,132,715,158,890,4510,205/948
11,JhE?GC@_??_,JhI?GC@_??_,leaf_degree_two,pendant_path_fold,98,494,114,602,2680,670/2793
11,JhE?GCA@??_,JhI?GCA@??_,leaf_degree_two,pendant_path_fold,114,598,131,719,3628,1814/7467
11,JhE?GCA_??_,JhI?GCA_??_,leaf_degree_two,pendant_path_fold,114,602,133,734,3610,5/21
11,JhE?GCC?GG?,JhI?GCC?GG?,leaf_degree_two,pendant_path_fold,130,692,150,834,4620,77/325
11,JhE?GCC?K??,JhI?GCC?K??,leaf_degree_two,pendant_path_fold,126,676,147,823,4326,103/441
11,JhE?GCC_??_,JhI?GCC_??_,leaf_degree_two,pendant_path_fold,128,689,150,842,4426,2213/9600
11,JhE?GE??G?_,JhI?GE??G?_,leaf_degree_two,pendant_path_fold,102,520,119,635,2890,5/21
11,JhE?GE??G@?,JhI?GE??G@?,leaf_degree_two,pendant_path_fold,122,650,143,795,4040,2020/8723
11,JhE?GE??K??,JhI?GE??K??,leaf_degree_two,pendant_path_fold,140,755,165,926,5065,1013/4620
11,JhGa?E??G?_,JhGaAA??G?_,leaf_degree_two,pendant_path_fold,159,887,203,1165,5174,5174/32277
11,JhGc?C@?_?_,JhGc?CA?_?_,leaf_degree_two,pendant_path_fold,135,747,167,961,4986,554/2505
11,JhGc?C@_??_,JhGc?CA_??_,leaf_degree_two,pendant_path_fold,149,834,179,1041,5823,5823/26671
11,JhGc?CA_??_,JhGc?CA_C??,leaf_degree_two,pendant_path_fold,179,1041,228,1364,6808,1702/10203
11,JhGc?E??K??,JhGcCA??K??,leaf_degree_two,pendant_path_fold,207,1213,266,1595,7507,7507/55062
11,JhH?GI??G?_,JhH?GI??G@?,leaf_degree_two,pendant_path_fold,147,815,173,998,5711,5711/25431
11,JhH?IA??G?_,JhHAAA??G?_,leaf_degree_two,pendant_path_fold,170,950,219,1253,4960,496/3723
11,JhH?K?@?G@?,JhHAC?@?G@?,leaf_degree_two,pendant_path_fold,131,719,165,938,4243,4243/21615
11,JhH?K?@?GA?,JhHAC?@?GA?,leaf_degree_two,pendant_path_fold,146,818,185,1070,4890,489/2701
11,JhH?K?@?K??,JhHAC?@?K??,leaf_degree_two,pendant_path_fold,159,895,203,1175,5140,5140/32277
11,JhHC?C@?_?_,JhHC?CA?_?_,leaf_degree_two,pendant_path_fold,142,794,177,1026,5154,859/4189
11,JhHC?C@_??_,JhHC?CA_??_,leaf_degree_two,pendant_path_fold,158,890,191,1115,6180,3090/15089
11,JhHC?CA_??_,JhHC?CA_C??,leaf_degree_two,pendant_path_fold,191,1115,245,1466,6831,6831/46795
11,JhHC?E??K??,JhHCCA??K??,leaf_degree_two,pendant_path_fold,222,1302,287,1717,7500,1250/10619
11,JhI?GCA_??_,JhI?GCA_C??,leaf_degree_two,pendant_path_fold,133,734,168,960,4368,26/133
11,JhI?GCC?GG?,JhI?GGC?GG?,leaf_degree_two,pendant_path_fold,150,834,191,1093,4656,776/4775
11,JhI?GCC?K??,JhI?GGC?K??,leaf_degree_two,pendant_path_fold,147,823,185,1070,5035,1007/5439
11,JhI?GCC_??_,JhI?GGC_??_,leaf_degree_two,pendant_path_fold,150,842,187,1085,5296,2648/14025
11,JhI?GE??G?_,JhI?GI??G?_,leaf_degree_two,pendant_path_fold,119,635,143,795,3800,3800/17017
11,JhI?GE??G@?,JhI?GI??G@?,leaf_degree_two,pendant_path_fold,143,795,173,998,5179,5179/24739
11,JhI?GE??K??,JhI?GI??K??,leaf_degree_two,pendant_path_fold,165,926,201,1166,6264,696/3685
11,JhI?GGC_??_,JhI?GGC_C??,leaf_degree_two,pendant_path_fold,187,1085,240,1428,6636,553/3740
11,JhI?GI??G@?,JhICCA??G@?,cherry,fold,173,998,260,1540,6940,347/2249
11,JhI?GI??K??,JhI?GI?_C??,leaf_degree_two,pendant_path_fold,201,1166,260,1540,6380,319/2613
11,JhI?K?@_??_,JhICC?@_??_,leaf_degree_two,pendant_path_fold,182,1034,235,1365,5440,544/4277
11,JhI?K?@_C??,JhICC?@_C??,leaf_degree_two,pendant_path_fold,235,1365,306,1807,6955,1391/14382
11,JhOI?E??G?_,JiOI?E??G?_,leaf_degree_two,pendant_path_fold,154,842,198,1110,4224,32/231
11,JhOIAA??G?_,JiOIAA??G?_,leaf_degree_two,pendant_path_fold,198,1110,257,1468,5394,899/8481
11,JhOIC?@?GA?,JiOIC?@?GA?,leaf_degree_two,pendant_path_fold,168,951,215,1249,5367,1789/12040
11,JhOIC?@?K??,JiOIC?@?K??,leaf_degree_two,pendant_path_fold,184,1043,237,1374,5625,1875/14536
11,JhOK?C@?_?_,JiOK?C@?_?_,leaf_degree_two,pendant_path_fold,130,710,162,918,4320,8/39
11,JhOK?C@?_C?,JiOK?C@?_C?,leaf_degree_two,pendant_path_fold,162,918,203,1189,6264,4/21
11,JhOK?C@?c??,JiOK?C@?c??,leaf_degree_two,pendant_path_fold,166,944,210,1230,5940,99/581
11,JhOK?C@_??_,JiOK?C@_??_,leaf_degree_two,pendant_path_fold,144,793,182,1034,4570,2285/13104
11,JhOK?C@_C??,JiOK?C@_C??,leaf_degree_two,pendant_path_fold,183,1039,233,1358,6427,6427/42639
11,JhOK?CA?_C?,JiOK?CA?_C?,leaf_degree_two,pendant_path_fold,205,1196,258,1551,9387,3129/17630
11,JhOK?CA?c??,JiOK?CA?c??,leaf_degree_two,pendant_path_fold,207,1215,263,1585,8550,950/6049
11,JhOK?CA_??_,JiOK?CA_??_,leaf_degree_two,pendant_path_fold,174,994,221,1298,6178,3089/19227
11,JhOK?CA_C??,JiOK?CA_C??,leaf_degree_two,pendant_path_fold,223,1307,285,1710,8835,31/223
11,JhOK?E??K??,JiOK?E??K??,leaf_degree_two,pendant_path_fold,202,1160,258,1518,7356,613/4343
11,JhOK?E?_C??,JiOK?E?_C??,leaf_degree_two,pendant_path_fold,261,1530,335,2005,10755,239/1943
11,JhPC?C@_??_,JiPC?C@_??_,leaf_degree_two,pendant_path_fold,182,1034,233,1356,5870,2935/21203
11,JhPC?CA_??_,JiPC?CA_??_,leaf_degree_two,pendant_path_fold,221,1298,284,1704,7952,28/221
11,JhPC?E??K??,JiPC?E??K??,leaf_degree_two,pendant_path_fold,258,1518,333,1996,9474,1579/14319
11,JhQ?GCC_??_,JiQ?GCC_??_,leaf_degree_two,pendant_path_fold,170,968,213,1250,6316,3158/18105
11,JhQ?GE??G?_,JiQ?GE??G?_,leaf_degree_two,pendant_path_fold,134,728,167,939,4250,2125/11189
11,JhQ?GE??G@?,JiQ?GE??G@?,leaf_degree_two,pendant_path_fold,162,914,203,1181,5780,2890/16443
11,JhQ?GE??K??,JiQ?GE??K??,leaf_degree_two,pendant_path_fold,188,1067,237,1382,6937,6937/44556
11,JhQ?GGC_??_,JiQ?GGC_??_,leaf_degree_two,pendant_path_fold,213,1250,268,1616,9208,2302/14271
11,JhQ?GI??G@?,JiQ?GI??G@?,leaf_degree_two,pendant_path_fold,197,1150,248,1488,7936,32/197
11,JhQ?GI??K??,JiQ?GI??K??,leaf_degree_two,pendant_path_fold,230,1346,291,1745,9664,4832/33465
11,JhQ?K?@_??_,JiQ?K?@_??_,leaf_degree_two,pendant_path_fold,208,1193,263,1547,8017,8017/54704
11,JhQ?K?@_C??,JiQ?K?@_C??,leaf_degree_two,pendant_path_fold,270,1578,343,2049,11976,1996/15435
11,Jh_GK?@?K??,Ji_GK?@?K??,leaf_degree_two,pendant_path_fold,147,799,179,1007,5008,5008/26313
11,Jh_GK?@?OA?,Ji_GK?@?OA?,leaf_degree_two,pendant_path_fold,167,939,203,1181,6610,6610/33901
11,Jh_GK?@?S??,Ji_GK?@?S??,leaf_degree_two,pendant_path_fold,179,1007,219,1271,6976,6976/39201
11,Jh_GK?@_??_,Ji_GK?@_??_,leaf_degree_two,pendant_path_fold,162,892,198,1126,5796,161/891
11,Jh_GK?@_C??,Ji_GK?@_C??,leaf_degree_two,pendant_path_fold,209,1178,257,1490,8664,456/2827
11,Jh_GOOG_??_,Ji_GOOG_??_,leaf_degree_two,pendant_path_fold,233,1356,284,1704,11928,42/233
11,Jh_GOQ??G@?,Ji_GOQ??G@?,leaf_degree_two,pendant_path_fold,203,1181,248,1488,9176,37/203
11,Jh_GOQ??K??,Ji_GOQ??K??,leaf_degree_two,pendant_path_fold,237,1382,291,1745,11403,1267/7663
11,Jh_GS?@?S??,Ji_GS?@?S??,leaf_degree_two,pendant_path_fold,219,1271,269,1606,9815,9815/58911
11,Jh_GS?@_??_,Ji_GS?@_??_,leaf_degree_two,pendant_path_fold,198,1126,243,1423,8136,452/2673
11,Jh_GS?@_C??,Ji_GS?@_C??,leaf_degree_two,pendant_path_fold,257,1490,317,1886,12372,12372/81469
11,Jh_K?E??K??,Ji_K?E??K??,leaf_degree_two,pendant_path_fold,232,1319,286,1670,10206,5103/33176
11,Jh_K?E?_C??,Ji_K?E?_C??,leaf_degree_two,pendant_path_fold,303,1749,375,2217,15876,1764/12625
11,JiPAC?@_??_,JiPACA?_??_,leaf_degree_two,pendant_path_fold,340,2024,438,2655,16188,1349/12410
11,JiPC?CA_??_,JiPC?CA_C??,leaf_degree_two,pendant_path_fold,284,1704,368,2248,11360,5/46
11,JiPC?E??K??,JiPCCA??K??,leaf_degree_two,pendant_path_fold,333,1996,434,2639,12523,1789/20646
11,JiQ?GGC_??_,JiQ?GGC_C??,leaf_degree_two,pendant_path_fold,268,1616,348,2136,10080,210/1943
11,JiQ?GI??G@?,JiQCCA??G@?,cherry,fold,248,1488,380,2312,7936,8/95
11,JiQ?GI??K??,JiQ?GI?_C??,leaf_degree_two,pendant_path_fold,291,1745,380,2312,9692,2423/27645
11,JiQ?K?@_??_,JiQCC?@_??_,leaf_degree_two,pendant_path_fold,263,1547,343,2049,8266,8266/90209
11,JiQ?K?@_C??,JiQCC?@_C??,leaf_degree_two,pendant_path_fold,343,2049,450,2719,10567,10567/154350
11,Ji_GS?@?S??,Js_GS?@?S??,cherry,fold,269,1606,416,2504,5480,685/13988
11,Ji_GS?@_??_,Ji_GSA?_??_,leaf_degree_two,pendant_path_fold,243,1423,317,1886,7207,7207/77031
11,Ji_GS?@_C??,Ji_GSA?_C??,leaf_degree_two,pendant_path_fold,317,1886,416,2504,9192,1149/16484
11,Ji_K?E??K??,JiaC?E??K??,leaf_degree_two,pendant_path_fold,286,1670,375,2217,7812,1302/17875
11,Ji_K?E?_C??,JiaC?E?_C??,leaf_degree_two,pendant_path_fold,375,2217,494,2947,9927,3309/61750
11,JkE?K?@_??_,JsE?K?@_??_,leaf_degree_two,pendant_path_fold,258,1478,338,1962,6632,1658/21801
11,JkE?K?@_C??,JsE?K?@_C??,leaf_degree_two,pendant_path_fold,338,1962,445,2608,8414,4207/75205
11,JkE?KA?_C??,JsE?KA?_C??,leaf_degree_two,pendant_path_fold,445,2608,588,3470,10646,5323/130830
12,KhCK?C@?GA?@,KhCS?C@?GA?@,leaf_degree_two,pendant_path_fold,106,560,119,659,3214,1607/6307
12,KhCK?C@?GC?@,KhCS?C@?GC?@,leaf_degree_two,pendant_path_fold,114,616,129,730,3756,626/2451
12,KhCK?C@?K??@,KhCS?C@?K??@,leaf_degree_two,pendant_path_fold,118,644,135,771,4038,673/2655
12,KhCP?E??G?_@,KhCP@A??G?_@,leaf_degree_two,pendant_path_fold,135,763,169,992,4973,4973/22815
12,KhCQ?E??G?_@,KhCQAA??G?_@,leaf_degree_two,pendant_path_fold,137,782,172,1020,5236,1309/5891
12,KhCS?C@?GA?@,KhCS?C@?OA?@,leaf_degree_two,pendant_path_fold,119,659,145,840,4405,881/3451
12,KhCS?C@?GC?@,KhCS?C@?OC?@,leaf_degree_two,pendant_path_fold,129,730,153,904,4926,1642/6579
12,KhCS?C@?K??@,KhCS?C@?S??@,leaf_degree_two,pendant_path_fold,135,771,157,936,5313,1771/7065
12,KhCS?C@?OC?@,KhCS?C@?OC?O,leaf_degree_two,pendant_path_fold,153,904,192,1176,6360,265/1224
12,KhCS?C@?S??@,KhCS?C@?S?O?,leaf_degree_two,pendant_path_fold,157,936,198,1223,6683,6683/31086
12,KhCS?C@?_?_O,KhCS?CA?_?_O,leaf_degree_two,pendant_path_fold,175,1049,222,1371,7047,2349/12950
12,KhCS?C@?_?o?,KhCS?CA?_?o?,leaf_degree_two,pendant_path_fold,173,1046,217,1356,7606,7606/37541
12,KhCS?C@?c??@,KhCS?CA?c??@,leaf_degree_two,pendant_path_fold,177,1074,220,1380,7980,133/649
12,KhCS?C@_??_@,KhCS?CA_??_@,leaf_degree_two,pendant_path_fold,141,814,169,1016,5690,5690/23829
12,KhCS?C@_??_A,KhCS?CA_??_A,leaf_degree_two,pendant_path_fold,169,1016,204,1272,7704,642/2873
12,KhCS?C@_??o?,KhCS?CA_??o?,leaf_degree_two,pendant_path_fold,195,1185,237,1488,9315,207/1027
12,KhC_HA??G?_@,KhG_HA??G?_@,leaf_degree_two,pendant_path_fold,154,884,195,1155,5490,183/1001
12,KhC_IA??G?_@,KhG_IA??G?_@,leaf_degree_two,pendant_path_fold,151,875,189,1134,5859,31/151
12,KhC_K?@?G?_C,KhG_K?@?G?_C,leaf_degree_two,pendant_path_fold,130,740,159,945,5190,173/689
12,KhC_K?@?G?_G,KhG_K?@?G?_G,leaf_degree_two,pendant_path_fold,139,803,171,1029,5718,1906/7923
12,KhC_K?@?G?o?,KhG_K?@?G?o?,leaf_degree_two,pendant_path_fold,146,848,181,1092,5944,2972/13213
12,KhC_K?@?G@?C,KhG_K?@?G@?C,leaf_degree_two,pendant_path_fold,155,923,190,1179,7375,295/1178
12,KhC_K?@?G@?G,KhG_K?@?G@?G,leaf_degree_two,pendant_path_fold,163,983,201,1260,7797,2599/10921
12,KhC_K?@?G@O?,KhG_K?@?G@O?,leaf_degree_two,pendant_path_fold,169,1024,210,1319,7871,7871/35490
12,KhC_K?@?GA?@,KhG_K?@?GA?@,leaf_degree_two,pendant_path_fold,150,884,185,1134,6560,656/2775
12,KhC`C?@?GA?@,KhG`C?@?GA?@,leaf_degree_two,pendant_path_fold,185,1134,232,1468,8492,2123/10730
12,KhCa?E??G?_@,KhGa?E??G?_@,leaf_degree_two,pendant_path_fold,154,896,191,1151,6118,437/2101
12,KhCaC?@?GA?@,KhGaC?@?GA?@,leaf_degree_two,pendant_path_fold,190,1172,235,1499,9390,939/4465
12,KhCc?C@?GC?@,KhGc?C@?GC?@,leaf_degree_two,pendant_path_fold,142,824,171,1035,6066,337/1349
12,KhCc?C@?K??@,KhGc?C@?K??@,leaf_degree_two,pendant_path_fold,150,876,183,1111,6342,1057/4575
12,KhCc?C@?OC?@,KhGc?C@?OC?@,leaf_degree_two,pendant_path_fold,169,1022,204,1284,8508,709/2873
12,KhCc?C@?S??@,KhGc?C@?S??@,leaf_degree_two,pendant_path_fold,175,1065,214,1351,8515,1703/7490
12,KhCc?C@?_?_O,KhGc?C@?_?_O,leaf_degree_two,pendant_path_fold,194,1188,235,1495,10850,1085/4559
12,KhCc?C@?_?o?,KhGc?C@?_?o?,leaf_degree_two,pendant_path_fold,193,1190,236,1508,10204,2551/11387
12,KhCc?C@?c??@,KhGc?C@?c??@,leaf_degree_two,pendant_path_fold,198,1224,243,1555,10458,581/2673
12,KhCc?C@_??_@,KhGc?C@_??_@,leaf_degree_two,pendant_path_fold,157,926,192,1176,6840,285/1256
12,KhCc?C@_??_A,KhGc?C@_??_A,leaf_degree_two,pendant_path_fold,189,1158,232,1472,9552,398/1827
12,KhCc?C@_??o?,KhGc?C@_??o?,leaf_degree_two,pendant_path_fold,219,1353,270,1723,12027,4009/19710
12,KhD?GE??G?_@,KhH?GE??G?_@,leaf_degree_two,pendant_path_fold,123,679,147,847,4368,208/861
12,KhD?GI??G?_@,KhH?GI??G?_@,leaf_degree_two,pendant_path_fold,147,847,177,1060,5901,281/1239
12,KhD?IA??G?_@,KhH?IA??G?_@,leaf_degree_two,pendant_path_fold,169,986,205,1238,7092,7092/34645
12,KhD?K?@?G?_G,KhH?K?@?G?_G,leaf_degree_two,pendant_path_fold,153,898,183,1117,6567,2189/9333
12,KhD?K?@?G?o?,KhH?K?@?G?o?,leaf_degree_two,pendant_path_fold,162,952,195,1189,6978,1163/5265
12,KhD?K?@?G@?C,KhH?K?@?G@?C,leaf_degree_two,pendant_path_fold,171,1035,204,1284,8424,78/323
12,KhD?K?@?G@?G,KhH?K?@?G@?G,leaf_degree_two,pendant_path_fold,181,1106,217,1376,9054,9054/39277
12,KhD?K?@?G@O?,KhH?K?@?G@O?,leaf_degree_two,pendant_path_fold,189,1156,228,1444,9348,41/189
12,KhD?K?@?GA?@,KhH?K?@?GA?@,leaf_degree_two,pendant_path_fold,166,992,199,1235,7602,3801/16517
12,KhD?K?@?GA?G,KhH?K?@?GA?G,leaf_degree_two,pendant_path_fold,207,1281,249,1596,11403,1267/5727
12,KhD?K?@?GAO?,KhH?K?@?GAO?,leaf_degree_two,pendant_path_fold,214,1328,259,1661,11502,5751/27713
12,KhD?K?@?K??@,KhH?K?@?K??@,leaf_degree_two,pendant_path_fold,186,1120,225,1402,8772,1462/6975
12,KhDAC?@?GA?@,KhHAC?@?GA?@,leaf_degree_two,pendant_path_fold,209,1292,253,1616,10868,52/253
12,KhDAC?@?K??@,KhHAC?@?K??@,leaf_degree_two,pendant_path_fold,237,1468,289,1844,12776,12776/68493
12,KhDC?C@?K??@,KhHC?C@?K??@,leaf_degree_two,pendant_path_fold,163,959,195,1191,7128,2376/10595
12,KhDC?C@?OC?@,KhHC?C@?OC?@,leaf_degree_two,pendant_path_fold,183,1117,217,1376,9419,9419/39711
12,KhDC?C@?S??@,KhHC?C@?S??@,leaf_degree_two,pendant_path_fold,191,1169,229,1452,9631,9631/43739
12,KhDC?C@?_?_O,KhHC?C@?_?_O,leaf_degree_two,pendant_path_fold,211,1301,251,1605,12104,12104/52961
12,KhDC?C@?_?o?,KhHC?C@?_?o?,leaf_degree_two,pendant_path_fold,211,1307,253,1622,11571,11571/53383
12,KhDC?C@?c??@,KhHC?C@?c??@,leaf_degree_two,pendant_path_fold,217,1346,261,1674,11952,1328/6293
12,KhDC?C@_??_@,KhHC?C@_??_@,leaf_degree_two,pendant_path_fold,171,1015,205,1262,7727,7727/35055
12,KhDC?C@_??_A,KhHC?C@_??_A,leaf_degree_two,pendant_path_fold,207,1273,249,1584,10911,3637/17181
12,KhDC?C@_??o?,KhHC?C@_??o?,leaf_degree_two,pendant_path_fold,241,1490,291,1857,13947,4649/23377
12,KhE?GC@_??_@,KhI?GC@_??_@,leaf_degree_two,pendant_path_fold,126,700,147,853,4578,109/441
12,KhE?GC@_??_A,KhI?GC@_??_A,leaf_degree_two,pendant_path_fold,151,875,177,1068,6393,2131/8909
12,KhE?GC@_??o?,KhI?GC@_??o?,leaf_degree_two,pendant_path_fold,174,1020,205,1248,8052,1342/5945
12,KhE?GCA?_G?@,KhI?GCA?_G?@,leaf_degree_two,pendant_path_fold,191,1151,220,1380,10360,518/2101
12,KhE?GCA?c??@,KhI?GCA?c??@,leaf_degree_two,pendant_path_fold,183,1111,214,1351,9479,9479/39162
12,KhE?GCA@??_A,KhI?GCA@??_A,leaf_degree_two,pendant_path_fold,177,1060,204,1272,8904,742/3009
12,KhE?GCA@??__,KhI?GCA@??__,leaf_degree_two,pendant_path_fold,205,1238,237,1488,11634,3878/16195
12,KhE?GCA@??o?,KhI?GCA@??o?,leaf_degree_two,pendant_path_fold,195,1189,228,1444,10488,46/195
12,KhE?GCA@C??@,KhI?GCA@C??@,leaf_degree_two,pendant_path_fold,195,1191,229,1452,10401,3467/14885
12,KhE?GCA_??_@,KhI?GCA_??_@,leaf_degree_two,pendant_path_fold,147,853,172,1040,6164,1541/6321
12,KhE?GCA_??_A,KhI?GCA_??_A,leaf_degree_two,pendant_path_fold,177,1068,208,1304,8664,361/1534
12,KhE?GCA_??o?,KhI?GCA_??o?,leaf_degree_two,pendant_path_fold,205,1248,242,1527,11019,11019/49610
12,KhE?GCC?GG?@,KhI?GCC?GG?@,leaf_degree_two,pendant_path_fold,186,1100,215,1323,9578,4789/19995
12,KhE?GCC?GG?_,KhI?GCC?GG?_,leaf_degree_two,pendant_path_fold,239,1449,277,1744,15443,15443/66203
12,KhE?GCC?GGO?,KhI?GCC?GGO?,leaf_degree_two,pendant_path_fold,226,1388,265,1688,13668,6834/29945
12,KhE?GCC?K??@,KhI?GCC?K??@,leaf_degree_two,pendant_path_fold,178,1064,209,1298,8668,394/1691
12,KhE?GCC?K?O?,KhI?GCC?K?O?,leaf_degree_two,pendant_path_fold,227,1397,268,1708,13320,3330/15209
12,KhE?GCC@C??@,KhI?GCC@C??@,leaf_degree_two,pendant_path_fold,225,1386,265,1692,13410,298/1325
12,KhE?GCC_??_@,KhI?GCC_??_@,leaf_degree_two,pendant_path_fold,166,980,195,1197,7602,1267/5395
12,KhE?GCC_??_A,KhI?GCC_??_A,leaf_degree_two,pendant_path_fold,201,1230,237,1504,10794,3598/15879
12,KhE?GCC_??o?,KhI?GCC_??o?,leaf_degree_two,pendant_path_fold,234,1440,277,1764,13896,772/3601
12,KhE?GE??G?o?,KhI?GE??G?o?,leaf_degree_two,pendant_path_fold,183,1081,216,1324,8796,733/3294
12,KhE?GE??G@?C,KhI?GE??G@?C,leaf_degree_two,pendant_path_fold,207,1263,244,1544,11436,953/4209
